id	run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	submission_accession	run_alias	experiment_alias	sample_alias	study_alias	library_layout	library_selection	library_source	library_strategy	library_name	instrument_model	instrument_platform	base_count	read_count	tax_id	scientific_name	sample_title	experiment_title	study_title	sample_description	fastq_md5	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_aspera	fastq_1	fastq_2	md5_1	md5_2	single_end
SRX17979142_SRR21996615	SRR21996615	SRX17979142	SAMN31394041	SRS15494060	PRJNA892713	SRP403809	SRA1524622	GSM6664767_r1	GSM6664767_r1	GSM6664767	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664767	Illumina HiSeq 4000	ILLUMINA	4026108621	26662971	10090	Mus musculus	Renal tubule, cKO genotype, ZT20, rep 5	Illumina HiSeq 4000 sequencing: GSM6664767: Renal tubule, cKO genotype, ZT20, rep 5 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT20, rep 5	86f0a4384feba1d606e1c9d44b595464	1994974558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/015/SRR21996615/SRR21996615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/015/SRR21996615/SRR21996615.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/015/SRR21996615/SRR21996615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/015/SRR21996615/SRR21996615.fastq.gz		86f0a4384feba1d606e1c9d44b595464		true
SRX17979141_SRR21996616	SRR21996616	SRX17979141	SAMN31394042	SRS15494059	PRJNA892713	SRP403809	SRA1524622	GSM6664766_r1	GSM6664766_r1	GSM6664766	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664766	Illumina HiSeq 4000	ILLUMINA	3953722392	26183592	10090	Mus musculus	Renal tubule, cKO genotype, ZT20, rep 4	Illumina HiSeq 4000 sequencing: GSM6664766: Renal tubule, cKO genotype, ZT20, rep 4 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT20, rep 4	c0dbfe63b8e86bd8a9555adecd2a1f2d	1969919368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/016/SRR21996616/SRR21996616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/016/SRR21996616/SRR21996616.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/016/SRR21996616/SRR21996616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/016/SRR21996616/SRR21996616.fastq.gz		c0dbfe63b8e86bd8a9555adecd2a1f2d		true
SRX17979140_SRR21996617	SRR21996617	SRX17979140	SAMN31394043	SRS15494058	PRJNA892713	SRP403809	SRA1524622	GSM6664765_r1	GSM6664765_r1	GSM6664765	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664765	Illumina HiSeq 4000	ILLUMINA	4081655330	27030830	10090	Mus musculus	Renal tubule, cKO genotype, ZT20, rep 3	Illumina HiSeq 4000 sequencing: GSM6664765: Renal tubule, cKO genotype, ZT20, rep 3 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT20, rep 3	2149e8ebb50590205aaf6a14ca3bc6bf	2020445260	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/017/SRR21996617/SRR21996617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/017/SRR21996617/SRR21996617.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/017/SRR21996617/SRR21996617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/017/SRR21996617/SRR21996617.fastq.gz		2149e8ebb50590205aaf6a14ca3bc6bf		true
SRX17979139_SRR21996618	SRR21996618	SRX17979139	SAMN31394044	SRS15494057	PRJNA892713	SRP403809	SRA1524622	GSM6664764_r1	GSM6664764_r1	GSM6664764	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664764	Illumina HiSeq 4000	ILLUMINA	4104396232	27181432	10090	Mus musculus	Renal tubule, cKO genotype, ZT20, rep 2	Illumina HiSeq 4000 sequencing: GSM6664764: Renal tubule, cKO genotype, ZT20, rep 2 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT20, rep 2	6035a27d74243eff2eb7238477b164e4	2039690715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/018/SRR21996618/SRR21996618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/018/SRR21996618/SRR21996618.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/018/SRR21996618/SRR21996618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/018/SRR21996618/SRR21996618.fastq.gz		6035a27d74243eff2eb7238477b164e4		true
SRX17979138_SRR21996619	SRR21996619	SRX17979138	SAMN31394045	SRS15494056	PRJNA892713	SRP403809	SRA1524622	GSM6664763_r1	GSM6664763_r1	GSM6664763	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664763	Illumina HiSeq 4000	ILLUMINA	4520834602	29939302	10090	Mus musculus	Renal tubule, cKO genotype, ZT20, rep 1	Illumina HiSeq 4000 sequencing: GSM6664763: Renal tubule, cKO genotype, ZT20, rep 1 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT20, rep 1	9c49f3e0589075570452cf8ccda179a4	2237134870	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/019/SRR21996619/SRR21996619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/019/SRR21996619/SRR21996619.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/019/SRR21996619/SRR21996619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/019/SRR21996619/SRR21996619.fastq.gz		9c49f3e0589075570452cf8ccda179a4		true
SRX17979137_SRR21996620	SRR21996620	SRX17979137	SAMN31394046	SRS15494055	PRJNA892713	SRP403809	SRA1524622	GSM6664762_r1	GSM6664762_r1	GSM6664762	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664762	Illumina HiSeq 4000	ILLUMINA	3953481396	26181996	10090	Mus musculus	Renal tubule, cKO genotype, ZT16, rep 5	Illumina HiSeq 4000 sequencing: GSM6664762: Renal tubule, cKO genotype, ZT16, rep 5 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT16, rep 5	bf201e099b3cec147b9a92053c0f237a	1959820526	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/020/SRR21996620/SRR21996620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/020/SRR21996620/SRR21996620.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/020/SRR21996620/SRR21996620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/020/SRR21996620/SRR21996620.fastq.gz		bf201e099b3cec147b9a92053c0f237a		true
SRX17979136_SRR21996621	SRR21996621	SRX17979136	SAMN31394047	SRS15494054	PRJNA892713	SRP403809	SRA1524622	GSM6664761_r1	GSM6664761_r1	GSM6664761	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664761	Illumina HiSeq 4000	ILLUMINA	3939912234	26092134	10090	Mus musculus	Renal tubule, cKO genotype, ZT16, rep 4	Illumina HiSeq 4000 sequencing: GSM6664761: Renal tubule, cKO genotype, ZT16, rep 4 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT16, rep 4	d13ec38fae9494dff8e07bf5a113e362	1918372341	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/021/SRR21996621/SRR21996621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/021/SRR21996621/SRR21996621.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/021/SRR21996621/SRR21996621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/021/SRR21996621/SRR21996621.fastq.gz		d13ec38fae9494dff8e07bf5a113e362		true
SRX17979135_SRR21996622	SRR21996622	SRX17979135	SAMN31394048	SRS15494053	PRJNA892713	SRP403809	SRA1524622	GSM6664760_r1	GSM6664760_r1	GSM6664760	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664760	Illumina HiSeq 4000	ILLUMINA	3909145078	25888378	10090	Mus musculus	Renal tubule, cKO genotype, ZT16, rep 3	Illumina HiSeq 4000 sequencing: GSM6664760: Renal tubule, cKO genotype, ZT16, rep 3 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT16, rep 3	5c935982ac1888769d014744b5d043f4	1908697051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/022/SRR21996622/SRR21996622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/022/SRR21996622/SRR21996622.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/022/SRR21996622/SRR21996622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/022/SRR21996622/SRR21996622.fastq.gz		5c935982ac1888769d014744b5d043f4		true
SRX17979134_SRR21996623	SRR21996623	SRX17979134	SAMN31394049	SRS15494052	PRJNA892713	SRP403809	SRA1524622	GSM6664759_r1	GSM6664759_r1	GSM6664759	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664759	Illumina HiSeq 4000	ILLUMINA	3981096427	26364877	10090	Mus musculus	Renal tubule, cKO genotype, ZT16, rep 2	Illumina HiSeq 4000 sequencing: GSM6664759: Renal tubule, cKO genotype, ZT16, rep 2 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT16, rep 2	3e5f89d2a52d990f2409b1aea59855e5	1964919700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/023/SRR21996623/SRR21996623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/023/SRR21996623/SRR21996623.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/023/SRR21996623/SRR21996623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/023/SRR21996623/SRR21996623.fastq.gz		3e5f89d2a52d990f2409b1aea59855e5		true
SRX17979133_SRR21996624	SRR21996624	SRX17979133	SAMN31394050	SRS15494051	PRJNA892713	SRP403809	SRA1524622	GSM6664758_r1	GSM6664758_r1	GSM6664758	GSE216252	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6664758	Illumina HiSeq 4000	ILLUMINA	4066255293	26928843	10090	Mus musculus	Renal tubule, cKO genotype, ZT16, rep 1	Illumina HiSeq 4000 sequencing: GSM6664758: Renal tubule, cKO genotype, ZT16, rep 1 Mus musculus RNA-Seq	Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock	Renal tubule, cKO genotype, ZT16, rep 1	13eb6ab019a251ae06bf6cb51100a869	2014115376	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/024/SRR21996624/SRR21996624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/024/SRR21996624/SRR21996624.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/024/SRR21996624/SRR21996624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/024/SRR21996624/SRR21996624.fastq.gz		13eb6ab019a251ae06bf6cb51100a869		true
