"gene_id" "gene_name" "C_0_1" "C_0_2" "C_0_3" "C_0_4" "C_0_5" "C_04_1" "C_04_2" "C_04_3" "C_04_4" "C_04_5" "C_08_1" "C_08_2" "C_08_3" "C_08_4" "C_08_5" "C_12_1" "C_12_2" "C_12_3" "C_12_4" "C_12_5" "C_16_1" "C_16_2" "C_16_3" "C_16_4" "C_16_5" "C_20_1" "C_20_2" "C_20_3" "C_20_4" "C_20_5" "KO_0_1" "KO_0_2" "KO_0_3" "KO_0_4" "KO_0_5" "KO_04_1" "KO_04_2" "KO_04_3" "KO_04_4" "KO_04_5" "KO_08_1" "KO_08_2" "KO_08_3" "KO_08_4" "KO_08_5" "KO_12_1" "KO_12_2" "KO_12_3" "KO_12_4" "KO_12_5" "KO_16_1" "KO_16_2" "KO_16_3" "KO_16_4" "KO_16_5" "KO_20_1" "KO_20_2" "KO_20_3" "KO_20_4" "KO_20_5"
"1" "ENSMUSG00000020893" "Per1" 270 221 276 149 309.001 564.001 507 390 232 397 476.012 511 981 616 599 977 874 947.001 707.001 691 610 450 470.999 322 448.999 275 230 273 296 280 193 349 239 361.999 201 273 321 275 251 119 524 379 267 464.001 929.001 367 766 700 761 472 294 383 385 506 589 512.999 298 177 413 429
"2" "ENSMUSG00000055866" "Per2" 647.023 641 796 713 771 508 788 719 288 557 973.259 1111 1030 1066 1089 1689 2266 1821 1613 1646 2518.999 2152 1846.005 1544 1525 990 1280 649 1002 1463.992 1558.005 1253 1551 1549 1186 749 817 633 630 554 784 673 684 875 815 875 1172 1347 1169 743 2080 1860 1370 1406 1403 1248 1510 1178 1310 1149
"3" "ENSMUSG00000028957" "Per3" 207 244.001 260 311 415 797 1030.015 860 574 736.999 1022 1217 1346 1301 1250 1330 1269 1179 1383 1362.999 858 1045 827.001 505 643 253.999 330 201 265 302 155 205 161 194 158 188 166 195 198.999 197.001 367 349 259 441 330 458.999 445 472 450.001 356 391.001 277 370 355 420 277.999 210 217 188 231
"4" "ENSMUSG00000020038" "Cry1" 330 301 236 217 194 39 71 55 56 72 126 150 119 192 120 215 269 338 310 290 471 431 438 503 538 570 583 470 432 512 679.388 717 753 895 681 642 736 630.999 650 615 613 576 622 646 729 680 703 801 741 460 745 815 809 791 810 970 901.001 759 804 719
"5" "ENSMUSG00000068742" "Cry2" 401 346 302 277.999 370.999 569 495.001 524 528.001 602 650 674 712 834 718 824 807 751.001 801 824 942.001 776 686 636 780 619 664 547 586 559 799 769 711 917 706 886 1079 857 1043 749.001 965 843 803 1344 1233 719 1047 1044 1026 706 987 959 890 975 1095 1073 826 761 863 853.114
"6" "ENSMUSG00000055116" "Arntl" 1073.999 913 929.999 945.999 543.001 205 94 101 314.001 233 75 48 44 47 42 39 35 100 35 35.999 221 251.001 287 600 557 830.999 819 1014 944.999 792 391 429.999 406.001 507 394 341.999 391 351 348.001 301 263.001 322 324 352 362 332.999 302.999 270.001 288 184 349 319 351.999 362.515 336 404.999 462 403 393.999 411
"7" "ENSMUSG00000029238" "Clock" 2333 2983 3019 2935 2092 1889 1948 1446.001 1821.999 2291.001 1903 1845 1483 1401 1659.999 1824 1420.001 2091 1639.001 1835.999 2079 1998.054 2398 2744 2208.999 2695.999 2837.999 3238 2837 3221.001 2898 3124 3366.001 3553.999 3709 2717.999 2534 3171.999 2852 3787 2133 2844.908 2745.001 2402 2679.999 3108 3146 2433 2440 2198 3074 3023 2861 2588 2798 3802 3059.005 3724.001 2929 3386
"8" "ENSMUSG00000026077" "Npas2" 559 339 428 378 179 106 49 50 217 152 26 18 34 18 19 14 22 30 11 14 80 76 80 100 195 262 242 522 402 260 1039.999 916.008 780 1138 884 1061 1348 969 1173 871 1331 1031 826 1410 1376 796 1084 869 1053 611 1195 1197 902 1067 1099 1220 1156 906 1074 1064
"9" "ENSMUSG00000020889" "Nr1d1" 261 240 436 346 335 1357 1486 1594 1698 1514 867 742 1213 1081 1193 631 566 258 317 484 169 176 102 114 96 41 68 156 72 68 86 66 54 48 72 308 197 282 324 158 598 364 388 710 482 186 333 305 259 165 85 38 108 132 113 112 41 40 27 53
"10" "ENSMUSG00000059824" "Dbp" 43.999 54 38 49.001 129 1008 1365 1250 714.999 961 1250 1275.999 1528.001 1589.031 1809.001 1402 1189 697 1114.999 1168.999 300.999 340 184 121.999 160 37 60.999 61 52 50.999 74 68 38 53 63 104 82 93.999 113 79 439 271.001 296 500 303.001 311 293 431 354 205 92.001 61 101.999 114 90 86 47 41 61 71.999
