"TAIR"	"SYMBOL"	"GENENAME"	"ENTREZID"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"ZT1_wt_1"	"ZT1_wt_2"	"ZT1_wt_3"	"ZT1_wt_4"	"ZT3_wt_1"	"ZT3_wt_2"	"ZT3_wt_3"	"ZT3_wt_4"	"ZT5_wt_1"	"ZT5_wt_2"	"ZT5_wt_3"	"ZT5_wt_4"	"ZT7_wt_1"	"ZT7_wt_2"	"ZT7_wt_3"	"ZT7_wt_4"	"ZT9_wt_1"	"ZT9_wt_2"	"ZT9_wt_3"	"ZT9_wt_4"	"ZT11_wt_1"	"ZT11_wt_2"	"ZT11_wt_3"	"ZT11_wt_4"	"ZT13_wt_1"	"ZT13_wt_2"	"ZT13_wt_3"	"ZT13_wt_4"	"ZT15_wt_1"	"ZT15_wt_2"	"ZT15_wt_3"	"ZT15_wt_4"	"ZT17_wt_1"	"ZT17_wt_2"	"ZT17_wt_4"	"ZT19_wt_1"	"ZT19_wt_2"	"ZT19_wt_3"	"ZT19_wt_4"	"ZT21_wt_1"	"ZT21_wt_2"	"ZT21_wt_3"	"ZT21_wt_4"	"ZT23_wt_1"	"ZT23_wt_2"	"ZT23_wt_3"	"ZT23_wt_4"
"AT1G12010"	"ACO3"	"Encodes a protein that appears to have 1-amino-cyclopropane-1-carboxylic acid oxidase activity based on mutant analyses."	"837753"	"DOWN"	"Rhythmic"	"-3.579446"	"-0.70185168"	"-22.848213"	"5.399025e-40"	"1.359166e-36"	"79.87434532"	"DOWN"	"Rhythmic"	"5.713555e-05"	"1.222666e-05"	"24"	"22.0"	"0.5935912"	"0.6776980"	"   1.2620374"	" 0.410899055"	" 0.16426746"	" 0.23481337"	" 0.68222905"	"-0.16632870"	"-1.03806700"	"-3.42970053"	"-1.58305825"	"-0.47179274"	" 0.615804595"	"-0.16820655"	"-0.39086574"	"-0.291645924"	"-0.65209167"	" 0.34701325"	" 0.60260939"	"-1.02742044"	" 0.25953376"	"-0.5233323"	"-1.36194595"	"-2.11662367"	"-1.03008538"	"-0.17228407"	" 0.0003149913"	"-1.16550020"	"-0.914755221"	"-0.058286026"	"-0.45844686"	" 1.14250639"	" 0.002657407"	"-0.4620917"	" 0.07847650"	" 0.7381970"	" 0.33994501"	"-0.16680141"	" 0.2603927"	" 1.2326408"	" 0.16494464"	" 1.10077771"	" 0.88441865"	" 0.58260312"	" 0.99010992"	" 0.272366351"	" 1.4924752"	" 1.558885734"	" 1.277474381"	" 0.985747592"
"AT1G12200"	"FMO"	NA	"837773"	"DOWN"	"Rhythmic"	"-2.847251"	"-0.57677029"	"-17.404130"	"4.721428e-31"	"4.379000e-28"	"59.96929217"	"DOWN"	"Rhythmic"	"2.770252e-03"	"9.105265e-04"	"24"	"14.0"	"0.4371094"	"0.7147018"	"   1.2010704"	" 0.881507556"	" 0.99767326"	" 1.44826052"	" 1.33616187"	" 2.24606273"	" 1.44383586"	" 1.82286782"	" 2.07838082"	" 1.43118646"	" 2.167481405"	" 0.16463278"	" 1.52404626"	"-1.246237074"	" 1.22660979"	" 2.24076357"	" 3.02168013"	" 1.25527010"	" 1.69558155"	" 1.1502143"	" 2.08511816"	" 2.85788940"	" 2.84100102"	" 2.44260829"	" 2.2550866216"	" 2.55922123"	" 3.349421433"	" 1.808063269"	" 2.63094606"	" 3.01568829"	" 2.945287887"	" 2.9813307"	" 2.36094862"	" 2.2760997"	" 1.44121058"	" 2.13018270"	" 2.6783108"	" 2.1449777"	" 2.52659739"	" 2.17551984"	" 2.26390332"	" 1.60939375"	" 2.25101104"	" 2.381256661"	" 1.6123497"	" 2.191961721"	" 3.160397974"	" 2.389817359"
"AT1G02300"	"AtcathB1"	NA	"839576"	"UP"	"Rhythmic"	" 2.841901"	" 4.32741881"	" 14.908090"	"2.008447e-26"	"1.072511e-23"	"49.55523035"	"UP"	"Rhythmic"	"2.102303e-02"	"8.682647e-03"	"24"	"12.0"	"0.7873195"	"0.9760824"	"   8.0219517"	"-1.053267314"	"-1.21092964"	" 0.03462425"	"-0.17438553"	" 0.40289771"	" 0.33340662"	" 0.93861623"	" 0.67530534"	" 2.80701055"	" 2.575531867"	" 3.00375010"	" 2.90757111"	" 2.750617915"	" 2.85628854"	" 3.48200128"	" 3.15239129"	" 2.88117860"	" 3.49144352"	" 2.1657848"	" 2.99791289"	" 1.64146228"	" 2.90701411"	" 2.79081678"	" 2.2183558940"	" 1.46450606"	" 2.254900857"	" 2.199262557"	" 2.33166418"	" 3.14765616"	" 2.231807640"	" 1.8581116"	" 1.95168795"	" 2.7920813"	" 2.58087930"	" 2.78623646"	" 3.0138834"	" 3.1732030"	" 1.85149837"	" 1.62377753"	" 2.56821432"	" 1.63961081"	" 2.45499206"	" 1.880235418"	" 1.5779718"	" 1.795633119"	" 1.446737894"	" 1.661392857"
"AT2G46830"	"AtCCA1"	"Encodes a transcriptional repressor that performs overlapping functions with LHY in a regulatory feedback loop that is closely associated with the circadian oscillator of Arabidopsis. Binds to the evening element in the promoter of TOC1 and represses TOC1 transcription. CCA1 and LHY colocalize in the nucleus and form heterodimers in vivo. CCA1 and LHY function synergistically in regulating circadian rhythms of Arabidopsis."	"819296"	"DOWN"	"Rhythmic"	"-2.475991"	" 0.80962650"	" -9.526303"	"1.996534e-15"	"4.955341e-13"	"24.65857242"	"DOWN"	"Rhythmic"	"2.421050e-15"	"2.885147e-17"	"24"	" 0.0"	"4.2420847"	"4.9854253"	" 126.3565661"	" 8.830211581"	" 9.07971393"	" 8.94154311"	" 9.00549570"	" 6.30030118"	" 6.37053924"	" 6.44386794"	" 6.58876748"	" 3.80475675"	" 3.592154413"	" 4.28725948"	" 4.70841929"	" 1.375382549"	" 1.82487411"	" 2.01803177"	" 2.21732243"	"-0.92587446"	"-1.29079444"	" 0.3631394"	"-0.60245397"	"-0.83599190"	"-0.57996860"	"-0.54301520"	"-2.0221218175"	"-0.93467820"	"-1.359454129"	"-1.215963910"	" 0.01258796"	"-0.59078150"	"-0.305960328"	"-1.3825134"	"-1.53947672"	"-1.4005452"	"-1.46179274"	"-1.05637341"	" 0.4118739"	" 0.9316573"	" 0.14926427"	" 1.68358797"	" 5.48260775"	" 5.73438246"	" 5.76710373"	" 5.392784070"	" 8.5312551"	" 8.565778713"	" 8.479805118"	" 8.431056200"
"AT2G15080"	"AtRLP19"	NA	"815997"	"UP"	"Rhythmic"	" 2.432542"	" 3.42875812"	" 15.223278"	"5.006190e-27"	"2.756846e-24"	"50.91584465"	"UP"	"Rhythmic"	"5.404049e-03"	"1.908989e-03"	"24"	"23.0"	"0.6193139"	"0.6329765"	"   2.4347765"	" 1.929977214"	" 1.53469312"	" 0.11956407"	" 2.18404357"	" 2.60127683"	" 2.43735963"	" 2.57194336"	" 2.83893842"	" 2.40769867"	" 3.449919899"	" 2.85230101"	" 3.32388570"	" 2.854028566"	" 2.77829361"	" 2.03983872"	" 2.46423594"	" 1.74457257"	" 1.90480652"	" 1.4763795"	" 1.92798568"	"-0.52846362"	" 1.14269691"	" 1.30926859"	" 1.8507830099"	" 1.62596645"	" 2.379707784"	" 2.470236741"	" 2.44236266"	" 0.70876933"	" 1.255611307"	" 0.9236534"	" 0.26017809"	" 2.1596220"	" 1.73270716"	" 2.08490174"	" 2.6253012"	" 2.5613362"	" 1.65646935"	" 2.65505613"	" 3.50187308"	" 3.26119065"	" 2.87259674"	" 3.006767110"	" 3.1752710"	" 2.600208556"	" 2.745062539"	" 3.076429145"
"AT3G55240"	"RPGE3"	"Overexpression leads to PEL (Pseudo-Etiolation in Light) phenotype."	"824690"	"DOWN"	"Rhythmic"	"-2.392814"	"-0.60425559"	" -9.925529"	"2.847498e-16"	"7.719785e-14"	"26.57615124"	"DOWN"	"Rhythmic"	"8.859479e-16"	"9.200344e-18"	"24"	" 5.0"	"2.8979278"	"4.0112722"	"  21.7103035"	" 0.007631397"	" 0.71006334"	" 0.28342054"	"-0.67964030"	" 4.82787473"	" 5.41911602"	" 5.19146806"	" 4.71368912"	" 5.39771153"	" 4.965834648"	" 5.94917443"	" 5.33116964"	" 5.605394886"	" 4.40422184"	" 4.84983096"	" 5.20688557"	" 2.94863920"	" 3.75833401"	" 2.4062983"	" 2.19970376"	"-0.02848730"	" 0.53571064"	" 0.08579832"	" 0.3384014943"	"-0.99505509"	"-0.854115914"	"-1.448394742"	"-0.27170919"	"-1.64901400"	"-1.910066220"	"-2.7206349"	"-2.27488418"	"-1.4203869"	"-2.32046746"	"-2.54731147"	"-2.5721453"	"-2.2356272"	"-2.45305289"	"-2.32123970"	"-2.47738357"	"-2.26121344"	"-1.28054527"	"-2.109285910"	"-0.7456547"	"-2.310158553"	"-0.764065756"	"-2.755108660"
"AT5G57565"	NA	NA	"2746216"	"UP"	"Rhythmic"	" 2.274362"	" 1.26440193"	" 15.296993"	"3.623893e-27"	"2.060008e-24"	"51.23218309"	"UP"	"Rhythmic"	"1.428925e-02"	"5.613692e-03"	"24"	"13.0"	"0.2569933"	"0.6110992"	"   0.6120703"	" 0.338919403"	" 0.46649615"	"-0.32610822"	"-0.23912181"	" 0.90506833"	"-0.40546244"	" 0.05062898"	" 1.05333121"	" 1.53857089"	" 0.935551225"	" 1.59055553"	" 0.06061028"	" 3.107308317"	" 1.22072042"	" 1.00861764"	" 1.17842052"	" 1.68259645"	" 1.76237992"	" 1.5173880"	" 1.35259591"	" 1.31868812"	" 0.77594618"	" 0.72188494"	" 0.2562711179"	" 2.68977134"	" 1.873885565"	" 1.479484110"	" 1.72061849"	" 1.96265426"	" 1.524252924"	" 1.1020315"	" 1.02988243"	" 0.9640716"	" 1.60739946"	" 1.39726287"	" 0.8886511"	" 1.1198257"	" 0.14852269"	" 0.94688137"	" 0.99980762"	" 1.54770270"	" 0.70392212"	" 0.549170541"	" 1.5040180"	" 1.466174737"	" 1.016815031"	" 1.487679756"
"AT1G56600"	"AtGolS2"	NA	"842114"	"DOWN"	"Rhythmic"	"-2.251922"	" 2.22441582"	"-10.278422"	"5.105897e-17"	"1.451228e-14"	"28.26848043"	"DOWN"	"Rhythmic"	"6.798955e-09"	"5.305052e-10"	"24"	" 4.0"	"2.2861553"	"1.9470959"	"  50.2591828"	" 9.603042932"	" 9.96244814"	" 9.32938850"	" 9.87552809"	" 7.83907318"	" 7.66052524"	" 8.44895643"	" 8.16018274"	" 8.30795455"	" 7.384209483"	" 8.37903973"	" 8.60101882"	" 7.956257897"	" 7.94142607"	" 6.32443985"	" 8.48251237"	" 7.55050350"	" 8.65450824"	" 6.5174190"	" 6.53091560"	" 6.63964185"	" 6.92940379"	" 8.02805746"	" 7.6031582110"	" 3.99227128"	" 4.806116544"	" 5.069316730"	" 5.35078831"	" 4.52089601"	" 5.538867471"	" 4.7083142"	" 3.86232273"	" 4.4044122"	" 4.34966761"	" 4.69915128"	" 5.5658585"	" 4.8317639"	" 4.69083800"	" 4.64487426"	" 5.13241781"	" 4.06626234"	" 4.57556485"	" 5.933099265"	" 5.4232477"	" 6.132646715"	" 5.973001151"	" 6.253377631"
"AT1G14250"	NA	NA	"837986"	"UP"	"Rhythmic"	" 2.082039"	" 3.05580851"	"  8.774577"	"7.803754e-14"	"1.422391e-11"	"21.05055874"	"UP"	"Rhythmic"	"2.127394e-08"	"1.919508e-09"	"24"	" 8.0"	"2.4660404"	"2.3851141"	"  18.0949723"	" 1.090974675"	" 0.69672213"	" 1.84923146"	" 0.24972165"	" 4.00056837"	" 1.93737586"	" 2.44066130"	" 3.35143362"	" 4.54535074"	" 6.581747321"	" 5.64057532"	" 6.20311139"	" 4.207598377"	" 4.99661440"	" 7.02796280"	" 5.46662180"	" 5.41984309"	" 5.22807251"	" 4.4580399"	" 4.97419598"	" 3.33804621"	" 3.56599642"	" 5.48913883"	" 5.5639478161"	" 4.67461708"	" 4.464150988"	" 4.298267653"	" 2.69315836"	" 3.28848881"	" 1.699082376"	" 2.0899803"	" 1.02388128"	" 2.1697872"	" 2.09830921"	" 2.58974072"	" 2.7871279"	" 1.8265642"	" 0.49001245"	" 0.74601962"	" 0.36583580"	" 1.33669261"	" 0.97053221"	" 1.538819190"	" 0.4572632"	"-0.602295308"	" 0.856237142"	" 2.623485005"
"AT5G24470"	"APRR5"	"Encodes a pseudo-response regulator whose mutation affects various circadian-associated biological events such as flowering time in the long-day photoperiod conditions, red light sensitivity of seedlings during early photomorphogenesis, and the period of free-running rhythms of certain clock-controlled genes including CCA1 and APRR1/TOC1 in constant white light. Acts as transcriptional repressor of CCA1 and LHY."	"832518"	"UP"	"Rhythmic"	" 2.044242"	" 0.93419875"	"  5.319714"	"7.102034e-07"	"3.015712e-05"	" 5.36608792"	"UP"	"Rhythmic"	"7.187174e-03"	"2.621267e-03"	"24"	" 9.0"	"0.8545448"	"1.7691825"	"   2.4472976"	"-1.862360668"	"-1.19587046"	"-1.74116845"	"-0.40767657"	"-1.98613275"	"-0.40468727"	"-2.01689246"	"-1.91542709"	"-0.22329281"	"-0.049848280"	"-0.25706909"	"-0.35603315"	" 4.784413218"	" 4.52386478"	" 5.28356920"	" 5.34056069"	" 4.95472269"	" 5.49178016"	" 4.7071834"	" 5.41186652"	" 0.57092364"	" 1.33487704"	" 0.97630448"	" 1.1281778903"	" 0.56486502"	" 1.088592380"	" 0.371197775"	" 0.80083233"	"-0.88028689"	"-0.717642394"	"-1.5954054"	"-0.91958500"	" 0.5872551"	"-0.02306797"	"-1.29848496"	" 0.3183273"	" 2.2388215"	" 0.23085185"	" 0.18002984"	" 1.08473267"	" 1.11565587"	" 0.04013113"	" 1.046814120"	" 0.1448734"	"-0.597438009"	"-2.234119824"	"-1.591939328"
