"TAIR"	"SYMBOL"	"GENENAME"	"ENTREZID"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"ZT1_wt_1"	"ZT1_wt_2"	"ZT1_wt_3"	"ZT1_wt_4"	"ZT3_wt_1"	"ZT3_wt_2"	"ZT3_wt_3"	"ZT3_wt_4"	"ZT5_wt_1"	"ZT5_wt_2"	"ZT5_wt_3"	"ZT5_wt_4"	"ZT7_wt_1"	"ZT7_wt_2"	"ZT7_wt_3"	"ZT7_wt_4"	"ZT9_wt_1"	"ZT9_wt_2"	"ZT9_wt_3"	"ZT9_wt_4"	"ZT11_wt_1"	"ZT11_wt_2"	"ZT11_wt_3"	"ZT11_wt_4"	"ZT13_wt_1"	"ZT13_wt_2"	"ZT13_wt_3"	"ZT13_wt_4"	"ZT15_wt_1"	"ZT15_wt_2"	"ZT15_wt_3"	"ZT15_wt_4"	"ZT17_wt_1"	"ZT17_wt_2"	"ZT17_wt_4"	"ZT19_wt_1"	"ZT19_wt_2"	"ZT19_wt_3"	"ZT19_wt_4"	"ZT21_wt_1"	"ZT21_wt_2"	"ZT21_wt_3"	"ZT21_wt_4"	"ZT23_wt_1"	"ZT23_wt_2"	"ZT23_wt_3"	"ZT23_wt_4"
"AT4G12470"	"AZI1"	"Encodes AZI1 (AZELAIC ACID INDUCED 1).  Involved in the priming of salicylic acid induction and systemic immunity triggered by pathogen or azelaic acid."	"826859"	"UP"	"Rhythmic"	" 4.607625"	" 1.231949192"	" 17.497754"	"2.232684e-31"	"6.557392e-28"	"60.42893088"	"UP"	"Rhythmic"	"9.227805e-05"	"2.083614e-05"	"24"	" 1.0"	"0.8203631"	"0.7627046"	"3.431157e-01"	" 0.704725473"	" 0.667747687"	"-1.12477311"	" 0.087459987"	"-0.215855882"	" 0.51061240"	"-0.50879532"	"-0.865991690"	"-0.30333642"	" 0.079800673"	"-0.74742993"	"-0.84341876"	" 0.212426394"	"-1.79011642"	"-0.066197848"	"-2.53422387"	"-2.781139226"	"-0.513564273"	"-1.47910155"	"-1.155483088"	"-2.03226147"	"-1.90040334"	"-2.54400591"	"-0.873625799"	"-1.84016676"	"-1.525870416"	"-1.777879984"	"-1.53845505"	"-1.10855152"	"-1.44830026"	"-2.08699639"	"-2.39979994"	"-1.50658044"	"-0.605182244"	"-1.814308455"	"-2.63220775"	"-1.37739363"	"-1.01309382"	"-0.73752457"	"-0.76536495"	"-0.55572079"	" 0.86279530"	"-0.936141107"	"-0.376186608"	" 0.377321272"	"-0.65103775"	"-2.237135879"
"AT5G15960"	"KIN1"	"cold and ABA inducible protein kin1, possibly functions as an anti-freeze protein. Transcript level of this gene is induced by cold, ABA, dehydration and osmoticum (mannitol). However, protein activity of GUS fused to the promoter of this gene is inhibited by cold treatment, suggesting an inhibition of the protein by increased transcript level."	"831453"	"UP"	"Rhythmic"	" 4.498334"	" 3.845999447"	" 18.251888"	"1.023349e-32"	"3.606691e-29"	"63.39308558"	"UP"	"Rhythmic"	"8.024627e-15"	"1.142993e-16"	"24"	" 9.0"	"2.2594034"	"2.7223784"	"2.324331e+01"	" 2.500471790"	" 0.385432350"	" 2.29784192"	" 1.205063473"	" 0.578473594"	" 2.76660724"	" 1.94950110"	" 1.540966832"	" 2.27588693"	" 2.313904759"	" 2.20656817"	" 3.06709938"	" 4.319648193"	" 4.26580309"	" 4.151571664"	" 4.31254611"	" 5.645998257"	" 5.247640595"	" 6.01197622"	" 5.774124503"	" 5.76657887"	" 5.78478643"	" 4.10652805"	" 4.852022434"	" 3.37553126"	" 3.217688330"	" 3.641100551"	" 2.79083876"	" 1.40048553"	" 1.63496343"	" 3.51216238"	" 1.63207985"	" 0.50700141"	" 1.206991460"	" 0.538054996"	" 0.46553447"	" 0.93961584"	" 0.20281205"	"-0.24642745"	"-0.50302053"	" 0.96755858"	"-0.87109486"	" 0.422616355"	" 1.669846047"	" 0.677995613"	" 0.63938375"	"-0.742861377"
"AT3G51860"	"ATCAX3"	NA	"824349"	"DOWN"	"Rhythmic"	"-3.805904"	" 0.164756672"	"-14.318766"	"2.165875e-25"	"3.469732e-22"	"47.08730236"	"DOWN"	"Rhythmic"	"1.370990e-03"	"4.179411e-04"	"24"	"21.0"	"1.0626691"	"1.2593051"	"5.441279e+00"	" 0.148542216"	" 2.411181923"	" 1.58562295"	" 2.820172574"	"-0.740236752"	" 0.74320446"	" 0.85672674"	"-0.375210669"	" 0.59911739"	" 0.137023291"	" 2.02860285"	" 1.63054722"	"-0.057171834"	"-0.87773059"	"-0.080721407"	" 0.82966216"	"-0.636352752"	"-2.679938273"	"-0.51946938"	" 0.388681880"	"-1.00170254"	"-0.17028483"	" 0.34816306"	" 0.170549417"	"-1.85452674"	" 0.353867093"	" 1.497836471"	"-0.13432149"	" 0.64781783"	"-0.78056817"	"-1.33240811"	"-0.87369935"	" 3.10706654"	" 1.243907725"	" 1.788059861"	" 2.93524008"	" 1.42013932"	" 0.86324911"	" 2.56844949"	" 1.24901355"	" 1.38370646"	" 1.39454664"	" 1.857307540"	" 1.986208916"	"-0.432072665"	" 0.41567733"	" 2.469118820"
"AT2G42540"	"AtCOR15A"	"A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA)."	"818854"	"UP"	"Rhythmic"	" 3.783665"	" 8.440836511"	" 14.389884"	"1.569352e-25"	"2.765513e-22"	"47.40048040"	"UP"	"Rhythmic"	"5.318798e-21"	"1.026212e-23"	"24"	" 9.0"	"3.7932439"	"4.3122324"	"2.162149e+03"	" 5.753191018"	" 5.255259120"	" 6.99442523"	" 5.143473365"	" 6.885850707"	" 7.97509976"	" 7.14801301"	" 6.606803252"	" 8.19467841"	" 8.603101555"	" 8.63763223"	" 9.20970085"	"10.328728451"	"10.04651905"	"10.055809996"	"10.19982684"	"11.691803128"	"11.179770227"	"12.00651770"	"11.627982334"	"11.82702991"	"10.69377510"	"10.58432609"	"11.398147586"	" 9.64315624"	" 9.609866361"	"10.328398760"	" 9.57156091"	" 7.58188429"	" 6.34558925"	" 7.84475076"	" 8.73763784"	" 4.34601868"	" 5.500691343"	" 4.245235427"	" 3.39532210"	" 5.04318103"	" 2.02485736"	" 3.13446807"	" 3.20795282"	" 3.58239525"	" 2.45672742"	" 3.678473360"	" 4.156050168"	" 3.643838598"	" 3.65913471"	" 3.252224275"
"AT2G42530"	"COR15B"	NA	"818853"	"UP"	"Rhythmic"	" 3.468827"	" 5.910462792"	" 11.988785"	"1.137686e-20"	"9.546813e-18"	"36.49227940"	"UP"	"Rhythmic"	"1.324383e-18"	"5.486321e-21"	"24"	" 9.0"	"2.7723409"	"4.5439175"	"4.704857e+02"	" 1.400953718"	" 1.728740881"	" 3.04474298"	" 1.639844630"	" 1.700539464"	" 2.95869644"	" 2.46561341"	" 2.340139624"	" 5.22866945"	" 4.926627158"	" 5.82160198"	" 5.41424656"	" 8.388852507"	" 7.97779114"	" 8.065719053"	" 8.42855173"	" 9.988589480"	" 9.722296689"	" 9.65878781"	" 9.588370478"	" 8.92143566"	" 8.83989854"	" 8.73052882"	" 9.401197329"	" 6.63584899"	" 6.574864484"	" 6.857374053"	" 6.79506795"	" 4.35643737"	" 1.46474636"	" 2.81683910"	" 4.52577268"	" 1.12034631"	" 1.436170073"	" 1.239403536"	" 1.00594504"	" 1.69479637"	"-0.59768559"	" 1.08799699"	"-0.13342927"	" 1.24246293"	" 1.33701491"	" 1.016560374"	" 1.280176697"	" 1.460546172"	" 1.65377936"	"-0.309134239"
"AT3G05945"	NA	NA	NA	"DOWN"	"Rhythmic"	"-3.314562"	" 2.327082416"	"-14.641651"	"5.041344e-26"	"1.110482e-22"	"48.50392914"	"DOWN"	"Rhythmic"	"8.866541e-11"	"4.236538e-12"	"24"	"20.0"	"0.6615960"	"0.7178841"	"1.041843e+01"	" 4.110553500"	" 4.161599230"	" 4.14173713"	" 4.054360367"	" 3.703401703"	" 3.48013033"	" 3.62130811"	" 3.488105780"	" 3.10966959"	" 3.419680336"	" 2.86493434"	" 3.16326035"	" 3.487648805"	" 3.27316496"	" 3.693129050"	" 3.35587567"	" 3.665165116"	" 3.636386915"	" 2.82542344"	" 2.967424093"	" 2.88533330"	" 2.99385402"	" 3.81120714"	" 3.107103357"	" 3.88793802"	" 3.877611972"	" 3.399905544"	" 4.12967708"	" 3.63527425"	" 3.72311259"	" 3.93450074"	" 4.10557049"	" 3.98441710"	" 4.420843186"	" 4.518450828"	" 4.12312292"	" 4.80490943"	" 4.48877685"	" 4.31938503"	" 4.89884827"	" 4.83088253"	" 4.63340860"	" 4.715667495"	" 4.937046133"	" 5.047338410"	" 4.71802909"	" 5.119333048"
"AT1G70280"	NA	NA	"843364"	"DOWN"	"Rhythmic"	"-3.146267"	" 1.544456948"	"-19.294076"	"1.623674e-34"	"7.153094e-31"	"67.36400618"	"DOWN"	"Rhythmic"	"9.062764e-06"	"1.583489e-06"	"24"	"20.0"	"0.4178664"	"0.5975631"	"4.180352e+00"	" 3.017103893"	" 3.215498346"	" 3.45906888"	" 3.000745994"	" 3.152233101"	" 2.78370538"	" 2.88434429"	" 3.530091646"	" 2.93936047"	" 2.668181585"	" 2.07888829"	" 2.80109677"	" 1.512113547"	" 3.28438683"	" 3.102419369"	" 2.38068979"	" 2.483319077"	" 2.471630598"	" 2.86811654"	" 2.711020678"	" 2.62823391"	" 2.30897865"	" 2.38803486"	" 2.550587878"	" 2.56022461"	" 3.336092503"	" 3.383162691"	" 2.74034622"	" 3.33418874"	" 3.88844151"	" 3.24646931"	" 3.27942965"	" 2.89009432"	" 3.049627391"	" 3.191192133"	" 3.94503006"	" 3.69745388"	" 3.76443884"	" 3.13934488"	" 3.20601136"	" 3.19168168"	" 3.64755326"	" 4.199262650"	" 3.269155997"	" 3.324322526"	" 3.34752410"	" 3.785864069"
"AT1G09350"	"AtGolS3"	NA	"837457"	"UP"	"Rhythmic"	" 2.963946"	" 0.781921921"	" 10.847874"	"2.807417e-18"	"1.705942e-15"	"31.10640182"	"UP"	"Rhythmic"	"1.069215e-09"	"6.844140e-11"	"24"	" 6.0"	"2.0508610"	"2.5542953"	"3.296794e+00"	" 1.807642628"	" 0.002122658"	" 1.52877653"	"-0.071850473"	"-0.110862951"	" 0.16129925"	" 1.94304971"	" 0.342635585"	"-0.01406806"	" 0.409662461"	" 2.02779891"	" 1.72401583"	" 4.246420873"	" 3.10008924"	" 3.313770938"	" 4.68752177"	" 2.786626689"	" 3.452967654"	" 2.41326281"	" 3.241396107"	"-1.65952610"	"-0.14735322"	" 0.72595896"	"-1.853075817"	"-2.19437179"	"-2.275927349"	"-0.808837181"	"-2.18629287"	"-2.27568737"	"-1.99977917"	"-2.37036240"	"-2.27609809"	"-2.24742781"	"-1.825034413"	"-2.369401685"	"-2.25213863"	"-2.21867376"	"-2.45012429"	"-1.84874513"	"-1.82026863"	"-2.26589113"	"-1.04356479"	"-2.341368055"	" 0.007174641"	"-2.211957855"	"-2.31185797"	"-2.247029219"
"AT4G11320"	"AtCP2"	NA	"826734"	"UP"	"Rhythmic"	" 2.786149"	" 2.678206234"	" 10.952547"	"1.687317e-18"	"1.061925e-15"	"31.60451096"	"UP"	"Rhythmic"	"8.390698e-05"	"1.875075e-05"	"24"	" 8.0"	"1.2713098"	"1.4028803"	"5.284036e+00"	" 1.839876532"	" 2.205394192"	" 1.35588326"	" 1.306643466"	" 3.961152226"	" 1.92578003"	" 4.06830968"	" 1.973485125"	" 3.72494820"	" 3.976365903"	" 4.63841051"	" 3.71659332"	" 4.554457472"	" 4.42211290"	" 4.910604993"	" 4.99866654"	" 4.711759455"	" 3.689208245"	" 4.22260632"	" 4.947291349"	" 2.03665597"	" 4.22448836"	" 4.59439988"	" 5.454076496"	" 3.14066297"	" 3.564396386"	" 4.647535961"	" 2.17741741"	" 2.29526605"	" 3.20834715"	" 3.73067934"	" 0.91242753"	" 2.80846785"	" 3.930641964"	" 3.693528804"	" 2.74278053"	" 1.33046780"	" 2.50392009"	" 1.60977324"	" 2.40323074"	" 1.55135390"	" 2.27768488"	" 2.302446632"	" 3.994231720"	" 2.316344170"	" 2.89637488"	" 2.619211474"
"AT2G24850"	"TAT"	"Encodes a tyrosine aminotransferase that is responsive to treatment with jasmonic acid."	"817022"	"DOWN"	"Rhythmic"	"-2.734852"	" 1.802155257"	" -9.410031"	"3.196098e-15"	"7.611033e-13"	"24.21768495"	"DOWN"	"Rhythmic"	"2.989637e-03"	"9.904380e-04"	"24"	"11.0"	"0.8555152"	"0.7485001"	"5.212562e+00"	" 0.440638532"	" 1.433367615"	" 1.69137019"	" 2.158353444"	" 3.227655443"	" 2.25925240"	" 1.41142730"	" 0.521175895"	" 2.15208688"	" 0.779107073"	" 3.26902690"	" 2.01458041"	" 0.779871982"	" 0.62039019"	" 1.489657838"	" 1.48725988"	" 2.827740791"	" 0.829116865"	" 2.16936548"	" 3.346116703"	" 3.18607648"	" 1.50324256"	" 3.55532274"	" 4.739220879"	" 4.38557657"	" 4.683350579"	" 5.055117356"	" 2.55822095"	" 1.54784039"	"-0.66201209"	" 1.35950917"	" 1.15907537"	" 4.17818894"	" 4.001910566"	" 1.353244019"	" 2.35244618"	" 0.64651590"	" 0.24112074"	" 2.70382225"	" 0.77718037"	" 1.37903777"	" 0.74616577"	" 0.396060587"	" 0.959484305"	"-0.513423647"	" 0.03008233"	" 0.721042338"
