"gene_id"	"gene_name"	"gene_biotype"	"gene_seq_start"	"gene_seq_end"	"seq_name"	"seq_strand"	"seq_coord_system"	"description"	"gene_id_version"	"canonical_transcript"	"symbol"	"entrezid"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"GSM4037539"	"GSM4037545"	"GSM4037540"	"GSM4037546"	"GSM4037541"	"GSM4037547"	"GSM4037542"	"GSM4037548"	"GSM4037543"	"GSM4037549"	"GSM4037544"	"GSM4037550"
ENSMUSG00000026077	Npas2	protein_coding	39193731	39363236	1	1	chromosome	neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]	ENSMUSG00000026077.15	ENSMUST00000056815	Npas2	18143	DOWN	Rhythmic	-3.91880194597845	-1.38086993763308	-9.41292863501484	7.66735414187589e-09	1.75369427789461e-06	10.5264898473144	DOWN	Rhythmic	0.0406187455954898	0.00212121212121212	24	2	4.22150360344068	3.92264229638028	4.02581137157809	3.83236810745738	3.63863498693666	3.4358413257789	-1.34978354154693	-1.73713932508873	-1.84090202657957	-2.41326676205308	-2.67371563825171	-3.05417878983138	2.74410748987034	3.72579661097945
ENSMUSG00000038550	Ciart	protein_coding	95878503	95882251	3	-1	chromosome	circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]	ENSMUSG00000038550.10	ENSMUST00000159739	Ciart	229599	UP	Rhythmic	3.37959697707584	3.30580415575646	11.7738858749123	1.61130910727845e-10	8.2921994933317e-08	14.2873741391406	UP	Rhythmic	0.0224306481652453	0.000383197049863717	24	14	3.64684569448475	3.33007660251318	-1.61259650627718	-1.24822143510498	-1.51366986424456	-1.21058444327977	2.58985699528673	3.94683419774249	4.41755226157281	5.02834367509314	2.91107344068508	2.33303297358222	0.381571566999949	-0.565394968607684
ENSMUSG00000059824	Dbp	protein_coding	45705088	45710203	7	1	chromosome	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]	ENSMUSG00000059824.12	ENSMUST00000080885	Dbp	13170	UP	Rhythmic	3.32410577853502	4.54321504900475	12.6935965685947	4.17558478813614e-11	2.91229625633855e-08	15.5811928045462	UP	Rhythmic	0.0224306481652453	0.000383197049863717	24	12	4.25821012633367	4.07358921419589	-1.13818234493601	-1.16101851616787	2.14733221851276	0.631703694418964	6.56486110997872	6.82670537551526	5.9270788776564	6.18348804318599	2.73824593946329	3.51581983638337	0.219143495081069	-0.0949396344391225
ENSMUSG00000026475	Rgs16	protein_coding	153740349	153745468	1	1	chromosome	regulator of G-protein signaling 16 [Source:MGI Symbol;Acc:MGI:108407]	ENSMUSG00000026475.7	ENSMUST00000027748	Rgs16	19734	UP	Rhythmic	2.58033641617355	3.31088966711679	5.3300204760686	3.09702977708634e-05	0.00153005659107173	2.28737023151746	UP	Rhythmic	0.030775311857106	0.000944364277697611	24	12	2.87313330433264	3.67059125640589	-2.45447340635704	-4.11121683872421	0.395625143197677	-0.0404666246237441	3.20198019782033	4.82183508488906	4.29078879280133	3.82664847561505	-1.24269610951436	0.790205156787842	-0.739518754892255	-1.25359216056207
ENSMUSG00000060317	Acnat2	protein_coding	49379840	49408151	4	-1	chromosome	acyl-coenzyme A amino acid N-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444345]	ENSMUSG00000060317.9	ENSMUST00000081541	Acnat2	209186	UP	Rhythmic	2.53316683429914	5.18199066539805	13.1213062506093	2.28692478554233e-11	2.01755771615952e-08	16.1537167499579	UP	Rhythmic	0.0128718133718134	4.1686708353375e-05	24	22	1.61690558282972	1.50152654329704	3.98283376981375	4.97299580082669	2.93486958823791	3.97426113593956	2.1152625276781	2.35325664230231	2.73557551320084	2.59175422452014	4.54829693360529	4.1050937771542	5.35075492607089	5.24735945976909
ENSMUSG00000023067	Cdkn1a	protein_coding	29090976	29100727	17	1	chromosome	cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]	ENSMUSG00000023067.14	ENSMUST00000233296	Cdkn1a	12575	DOWN	Rhythmic	-2.23697585593551	1.29172787120589	-8.43933618473459	4.55787969249447e-08	8.04205315457131e-06	8.76853961527374	DOWN	Rhythmic	0.0406187455954898	0.00212121212121212	24	23	1.69064446383978	1.74441678846267	3.88213045498775	3.28467234276565	2.70182014745846	3.0450305439685	0.56791754755683	-0.103513667761227	1.18960531215339	0.833573391410759	1.91013033501967	1.43962477884393	3.5805376420666	3.75892443330325
ENSMUSG00000020893	Per1	protein_coding	69095217	69109960	11	1	chromosome	period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]	ENSMUSG00000020893.17	ENSMUST00000021271	Per1	18626	UP	Rhythmic	2.22551714170989	4.7556937248609	9.1336226045019	1.26308842626959e-08	2.73691318471153e-06	10.0353139980417	UP	Rhythmic	0.0406187455954898	0.00212121212121212	24	14	1.86590239448279	2.127955350237	1.78787390499708	1.90712108946719	1.33781466637675	0.702398128039938	3.34390737854006	4.50223371653595	5.06031954080075	5.73959951139891	4.46745646895979	4.51230955898508	3.58084071850098	2.37884253523185
ENSMUSG00000032010	Usp2	protein_coding	44067021	44095627	9	1	chromosome	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]	ENSMUSG00000032010.15	ENSMUST00000034508	Usp2	53376	UP	Rhythmic	2.06428859970756	5.0113139344997	7.40890144816691	3.43889921253159e-07	4.29028729030077e-05	6.76453867334047	UP	Rhythmic	0.0406187455954898	0.00212121212121212	24	14	2.53669282861723	2.53334774857982	2.17308382519567	2.3377296046647	0.653860660341595	1.88953019120832	4.74035386263152	5.92515500646975	6.52735461171144	6.6138265014971	5.67346300775087	5.38118516684131	3.94713754137996	3.0957342482018
ENSMUSG00000028957	Per3	protein_coding	151003652	151044665	4	-1	chromosome	period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134]	ENSMUSG00000028957.12	ENSMUST00000103204	Per3	18628	UP	Rhythmic	2.04368434582922	4.64852110625412	8.77405575261695	2.43633414578727e-08	4.70174422415915e-06	9.38751477711109	UP	Rhythmic	0.0224306481652453	0.000383197049863717	24	13	2.47514421622675	2.65250174886335	1.33928267475415	1.17732168563161	1.42840045414983	1.39096851889902	5.65155987153882	5.81820105938425	6.11763751266517	6.29251512285574	5.06824933729767	5.04198356784257	3.39347248478965	3.24702638130059
ENSMUSG00000044505	Lingo4	protein_coding	94398517	94404501	3	1	chromosome	leucine rich repeat and Ig domain containing 4 [Source:MGI Symbol;Acc:MGI:2444651]	ENSMUSG00000044505.5	ENSMUST00000050975	Lingo4	320747	UP	Rhythmic	1.9015495642571	1.561570069399	11.8438039141275	1.45004508125895e-10	7.78674208636058e-08	14.3888613760444	UP	Rhythmic	0.030775311857106	0.000944364277697611	24	20	1.46459123834779	1.59721885001349	0.0653616308701233	-0.120676540160487	-2.15270876751101	-1.40079796583518	-0.946523575508163	-1.11873576208585	0.0110272850518172	-0.189164893886018	0.952509030518394	1.07979387800557	1.64929484812571	1.21199289743172
